f_Hz   Yqq   Yqd   Ydq   Ydd
183.0   (0.027862336838569795-0.03699816525759746j)   (-0.0035213599625513988-0.0007252186847178912j)   (0.00168632914462193+0.00027220736291385864j)   (0.033313661035555726-0.02906804158532647j)
189.0   (0.025824223733910554-0.036331773838381376j)   (-0.0031786218747145425-0.00021134693912393842j)   (0.0019463498628498614+0.00026798009853563133j)   (0.031265304763034386-0.029306389521536507j)
196.0   (0.023549344659189467-0.03553284580307683j)   (-0.0030626365251711844+9.107706346782377e-05j)   (0.002204935283712758+0.0003060410217100642j)   (0.029441529660021858-0.029011686223490336j)
203.0   (0.021725699160646858-0.03449597594818882j)   (-0.00256834615124994+0.0007315711767078013j)   (0.002397926656565448+5.964584501367746e-05j)   (0.027669668394838396-0.02882782074891107j)
210.0   (0.02043001940793544-0.03369331676876321j)   (-0.0022587083894298034+0.0008812462481040476j)   (0.002464598181544362+5.589905872661923e-05j)   (0.02611813475101429-0.02862364306320335j)
217.0   (0.01917306514396651-0.03320779235081382j)   (-0.0023607624070736805+0.0009892895806858034j)   (0.0022871154560030952-0.00011900408415398857j)   (0.024693569529038315-0.028526901710420178j)
225.0   (0.018154344584422354-0.03259836353541161j)   (-0.004938938026455054+0.0008777682618085231j)   (0.0017006403698032507-0.0006145115385941146j)   (0.023345841923415322-0.028063230886299556j)
233.0   (0.016110792961929583-0.03144147115537918j)   (-0.0023437234044729667+0.0012852361415564306j)   (0.0019817086311649744-0.0002880561063867185j)   (0.02165619718313711-0.0278173641522794j)
241.0   (0.015199923277502443-0.030446132263377994j)   (-0.0017382903331877263+0.0016044907134395066j)   (0.001928835095281998-0.0002120553368586543j)   (0.020322922253769943-0.027448410069793427j)
250.0   (0.014144524617917065-0.030336693304093654j)   (-0.0022452717461950733+0.0008480726249586666j)   (0.002197054092484335+4.022829648563331e-05j)   (0.019248014065465658-0.02706090497134878j)
259.0   (0.012962972380905349-0.028855393939146042j)   (-0.0014084534668470843+0.0017167476204190937j)   (0.002169230438670953-0.00017592166464356108j)   (0.017868055131291832-0.026421501648510315j)
268.0   (0.012207359905788204-0.02782807185736914j)   (-0.0015452724988721596+0.0016298860009379054j)   (0.002148764489426641-0.00043346090100746535j)   (0.01673921439892322-0.026290153905621054j)
277.0   (0.011482194790649618-0.026861803302528037j)   (-0.0006522455552473661+0.0017026421307679983j)   (0.002011006613788302-0.000860066698307359j)   (0.01582635747387742-0.025548854180952967j)
287.0   (0.011003516959497429-0.025897963259494977j)   (-0.0006894268142147792+0.0014698500631319382j)   (0.0017766982005552481-0.0009597583265743087j)   (0.014804523156336206-0.02527839145950976j)
297.0   (0.01065793105452669-0.025282105026907673j)   (-0.0007156796592331998+0.000919449808560883j)   (0.0016192457979815884-0.0009843425859882395j)   (0.01350247818879975-0.02485032176781459j)
308.0   (0.010191981865520379-0.02462369108427375j)   (-0.0006097349326994676+0.0007729696233594132j)   (0.0013684268102631095-0.0009713194875991796j)   (0.012419125455851223-0.023986396128815514j)
318.0   (0.009436470982536516-0.024065684394862834j)   (-0.0005432090403578593+0.0006298086188178995j)   (0.0012947726389312185-0.00089245551909744j)   (0.011644827915681647-0.023281652697095485j)
330.0   (0.008730252012266822-0.023147639189812295j)   (-0.0005833513054588508+0.0006915431311226701j)   (0.0013215230777568379-0.0008350024836830853j)   (0.010915022663539135-0.022425210505935413j)
341.0   (0.008235533949489065-0.02276824178679034j)   (-0.00038990182505352686+0.0006183978547853458j)   (0.0013305137322582859-0.0009015088170021636j)   (0.010336909421298874-0.021918284666803536j)
353.0   (0.007592822558894539-0.0221022967414435j)   (-0.0004908154117074716+0.0003940814154576869j)   (0.0012176194961846683-0.0008819235756988315j)   (0.009537571049284967-0.021354152743331366j)
366.0   (0.006899070444507717-0.021438757897083324j)   (-0.0005695777399023374+0.000385238322145173j)   (0.0010470246272414815-0.0009250053888331713j)   (0.00886608058424383-0.020651920908823906j)
379.0   (0.006531723072677184-0.020578842277508353j)   (-0.00058715317995029+0.0006962604015345411j)   (0.0010608089147007523-0.0009042700907686171j)   (0.008365732919502702-0.01992607645442374j)
392.0   (0.005991442461374513-0.02005879118858779j)   (-0.00035399401893525126+0.0008118966013584517j)   (0.0009795460598576256-0.0008691639899661335j)   (0.007905334339012844-0.01934653119143698j)
406.0   (0.005598802374723564-0.01921038956292178j)   (-0.0002407414658934492+0.000829266493803339j)   (0.0008996409658296268-0.0009133973979735496j)   (0.0076735961342578604-0.01888053898058208j)
420.0   (0.005080289739710486-0.018559214203026732j)   (-0.0001230947665754245+0.0008858581320235398j)   (0.0008210918547976207-0.0008168942584541347j)   (0.007174678473675211-0.018526366922288123j)
435.0   (0.004833787967228749-0.017948566125272264j)   (-0.0001341719491268126+0.000653017021024929j)   (0.0007900242999823643-0.0009026335757734226j)   (0.006540578786867615-0.018105772429921372j)
451.0   (0.00445330478040846-0.017307549878863737j)   (-0.0002974045159023064+0.0006457256110122579j)   (0.0006956984660439592-0.0009085171432877065j)   (0.005991981637997416-0.0173595781367985j)
466.0   (0.004124179939629827-0.016769092293052425j)   (-0.0002485956301847136+0.0006114402387727554j)   (0.0006101196721798334-0.000897918930273038j)   (0.0056905336371397535-0.016750557382120713j)
483.0   (0.003886739057289452-0.01609366916726384j)   (-0.00024872781875250516+0.0005080385408278615j)   (0.0005720674937237964-0.000859848174452479j)   (0.005361259569155633-0.01623708529289839j)
500.0   (0.003545947047665876-0.015585396359459712j)   (-0.0003856866500315663+0.0003684189201561287j)   (0.00041324472569994345-0.000818954538616656j)   (0.005004981856895604-0.015440231790231278j)
