f_Hz   Yqq   Yqd   Ydq   Ydd
377.0   (0.00019136839683074863+6.438230817358979e-05j)   (-2.0921082992389767e-05-7.406670166983385e-06j)   (1.8602521849537953e-05+1.0254211580961465e-05j)   (0.00019466625527706045+8.13958001320427e-05j)
389.0   (0.0001931957477768243+6.072848672450029e-05j)   (-2.0257934375488368e-05-6.502542440196798e-06j)   (1.8145356933381096e-05+9.31362745700239e-06j)   (0.0001966287852525332+7.712124126979233e-05j)
402.0   (0.00019494775570058599+5.6903514562649414e-05j)   (-1.9583830154416687e-05-5.629094657884842e-06j)   (1.766703624210532e-05+8.399934746141903e-06j)   (0.0001985750417319729+7.258911807902164e-05j)
415.0   (0.00019649038513501165+5.3212263371517755e-05j)   (-1.8938371623724327e-05-4.862667315866627e-06j)   (1.7208413065854174e-05+7.580707179557102e-06j)   (0.0002001738041124629+6.838526233185612e-05j)
428.0   (0.0001978475205538429+4.964853088963017e-05j)   (-1.8334474273014874e-05-4.1775973841741824e-06j)   (1.6769995629255925e-05+6.843432103528975e-06j)   (0.00020162846346436482+6.42729918727806e-05j)
441.0   (0.00019903983780594108+4.6206531160270374e-05j)   (-1.7765567020850195e-05-3.564612388616107e-06j)   (1.63522693457929e-05+6.177017505965361e-06j)   (0.00020291159259256297+6.030729234320234e-05j)
455.0   (0.00020015974690453913+4.262862520886704e-05j)   (-1.7189131833827086e-05-2.9760292766597797e-06j)   (1.592492177065703e-05+5.528357901708799e-06j)   (0.00020410680213262192+5.6195100580704694e-05j)
470.0   (0.0002011917908434585+3.893517299971308e-05j)   (-1.661330434772992e-05-2.4129254489365938e-06j)   (1.5492112694842238e-05+4.902129942399399e-06j)   (0.00020521258013570044+5.1974288797606415e-05j)
485.0   (0.00020206972098700594+3.537811895836457e-05j)   (-1.6073444309695427e-05-1.911659998607827e-06j)   (1.5084199433790005e-05+4.337165456418024e-06j)   (0.0002061559505512165+4.790840960797813e-05j)
500.0   (0.00020281054452959038+3.194881428848668e-05j)   (-1.557663244065162e-05-1.4551436481519522e-06j)   (1.4699466074659457e-05+3.825366994974111e-06j)   (0.00020700886715020877+4.389484103770091e-05j)
